test/Accuracy,test/BalancedAccuracy
0.8108965158462524,0.7740402817726135
0.814355731010437,0.7785273790359497
0.8132026791572571,0.7758848667144775
0.8132026791572571,0.7760368585586548
0.8183914422988892,0.7817565202713013
0.8157970309257507,0.780012845993042
0.8157970309257507,0.7796756625175476
0.8189679980278015,0.7815937399864197
0.8163735866546631,0.7787402868270874
0.817526638507843,0.7825009822845459
0.8178149461746216,0.7818617820739746
0.8169501423835754,0.7810715436935425
0.8149322867393494,0.7791951894760132
0.8157970309257507,0.7799388766288757
0.8172383904457092,0.7800562977790833
0.817526638507843,0.7821381688117981
0.8134909272193909,0.7796560525894165
0.8224272131919861,0.7865830659866333
0.8192562460899353,0.7842029333114624
0.817526638507843,0.7828779220581055
0.8192562460899353,0.7824825644493103
